"vendor_code","name"
3500417,"Пакет подарочный, люкс, 19,5 х 8,5 х 14,5 см"
10186213,"Пакет  под бутылку «Сollection»,  12 x 36 x 9 см"
10186219,"Пакет  под бутылку «Cheers», 12 x 36 x 9 см"
5226251,"Пакет подарочный ламинированный квадратный, упаковка, «You are perfect», 30 х 30 х 12 см"
9905834,"Пакет ламинированный под бутылку ""Бантик"",13 х 36 х 10 см"
5307541,"Пакет подарочный, упаковка, «Gold Russia», 32 х 26 х 12 см"
3500418,"Пакет подарочный, люкс, 19,5 х 8,5 х 14,5 см"
1720651,"Пакет ""Перфекто Шик"", полиэтиленовый с петлевой ручкой, 46 х 42 см, 95 мкм"
9842920,"Пакетик под сладости «Ёлка», 11 х 6 см, Новый год"
4697560,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
3500419,"Пакет ламинированный ""Только вперёд"", люкс, 19,5 х 8,5 х 14,5 см"
3500444,"Пакет подарочный, люкс, 50 х 18 х 38 см"
7516068,"Пакет ""Шарики с карамелью"", мягкий пластик, 26 х 24 см, 140 мкм"
4697562,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
4697563,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
3500445,"Пакет подарочный, люкс, 50 х 18 х 38 см"
7695841,"Пакет подарочный новогодний ламинированный «Игривый котенок», M 26 х 30 х 9 см, Новый год"
3500446,"Пакет подарочный, люкс, 50 х 18 х 38 см"
5284121,"Пакет подарочный ламинированный вертикальный, упаковка, «Любимому Учителю», ML 27 х 23 х 11,5 см"
9275338,"Пакет ""Праздничные шары"", полиэтиленовый, с вырубной ручкой, 20 х 30 см, 30 мкм"
3500447,"Пакет подарочный, люкс, 50 х 18 х 38 см"
10533863,"Пакет ""Цветы"", 140 мкм,  мягкий пластик, 25 х 22,5 х 9 см"
10533862,"Пакет ""Париж"", 140 мкм,  мягкий пластик, 22х 25 х 9 см"
5307551,"Пакет подарочный голографический, упаковка, « Сияй», 12 х 15 х 5,5 см"
2846938,"Пакет ""Лирика"", полиэтиленовый с вырубной ручкой, 30 мкм , 20 х 30 см"
2728095,"Пакет из дизайнерской бумаги, МИКС, 39 х 34,5 х 14 см"
10084293,"Пакет подарочный ламинированный, упаковка, «Прекрасного тебе», S 12 х 15 х 5.5 см"
4455040,"Пакет ""Новогоднее послание"", полиэтиленовый с петлевой ручкой, 40х42 см. Новый год"
2728097,"Пакет ""Часы классик"", полиэтиленовый с вырубной ручкой, 30х20 см, 30 мкм"
2728098,"Пакет ""Очаровашка"", полиэтиленовый с вырубной ручкой, 30х20 см, 30 мкм"
6960899,"Пакет-коробка подарочная ""Новый год"" 28х20х13 см, Me To You"
2175324,"Пакет ""Джинс с цветами"" мягкий пластик, с карманами, 37х37х10 см, 150 мкм"
2728099,"Пакет ""Красные бусы"", полиэтиленовый с вырубной ручкой, 30х20 см, 30 мкм"
2728100,"Пакет ""Звёздочки на синем"", полиэтиленовый с вырубной ручкой, 30х20 см, 30 мкм"
10183461,"Пакет подарочный крафтовый, упаковка, «Красота», 12 х 21 х 9 см"
7519554,"Пакет крафт ""Елочка"", 32 х 25 х 11 см, с плоскими ручками"
9379036,"Пакет подарочный крафтовый, упаковка, «Эко», 24 х 28 х 14 см"
4864258,"Пакет с приколами, полиэтиленовый с вырубной ручкой «Несу счастье», 20 х 30 см, 35 мкм"
4334218,"Новый год. Пакет подарочный, 31х40х11 см, упаковка, Микки Маус"
7695828,"Пакет подарочный новогодний ламинированный «Поцелуй зимы», 12 х 15 х 5,5 см, Новый год"
2297063,"Пакет ""Синтия"", мягкий пластик, 30 х 30 см, 140 мкм"
10320468,"Пакет ламинированный «Белый», MS 23 × 18 × 10 см"
9525632,"Пакет голографический «Игрушки», M 26 х 30 х 9 см, Новый год"
9827674,"Пакет ""Дракоша"", полиэтиленовый с вырубной ручкой, 30 х 23 см, 30 мкм"
7303775,"Пакет подарочный крафтовый вертикальный, упаковка, «Сияй», MS 18 х 23 х 8 см"
3823488,"Пакет подарочный крафт «Только для тебя», 12 × 21 × 9 см"
3823487,"Пакет подарочный крафт «Для тебя», 12 × 21 × 9 см"
